iter	Passed	Remaining
913	126645	11916
914	126798	11779
915	126938	11640
916	127072	11501
917	127201	11362
918	127331	11222
919	127464	11083
920	127597	10944
921	127735	10806
922	127869	10667
923	127998	10528
924	128129	10388
925	128268	10250
926	128416	10112
927	128550	9973
928	128688	9835
929	128820	9696
930	128958	9557
931	129092	9418
932	129226	9279
933	129358	9140
934	129492	9002
935	129627	8863
936	129768	8725
937	129900	8586
938	130030	8447
939	130156	8307
940	130293	8169
941	130423	8030
942	130560	7891
943	130695	7753
944	130828	7614
945	130956	7475
946	131103	7337
947	131254	7199
948	131403	7061
949	131538	6923
950	131676	6784
951	131810	6645
952	131948	6507
953	132080	6368
954	132208	6229
955	132337	6090
956	132467	5952
957	132602	5813
958	132735	5674
959	132887	5536
960	133057	5399
961	133186	5260
962	133319	5122
963	133454	4983
964	133588	4845
965	133721	4706
966	133857	4568
967	134012	4430
968	134169	4292
969	134299	4153
970	134440	4015
971	134577	3876
972	134709	3738
973	134839	3599
974	134982	3461
975	135135	3322
976	135275	3184
977	135407	3045
978	135547	2907
979	135676	2768
980	135812	2630
981	135940	2491
982	136071	2353
983	136199	2214
984	136331	2076
985	136462	1937
986	136595	1799
987	136728	1660
988	136860	1522
989	136988	1383
990	137120	1245
991	137257	1106
992	137396	968
993	137528	830
994	137662	691
995	137798	553
996	137935	415
997	138062	276
998	138201	138
999	138343	0
